sampling_method,dc_n_particles,estimate
STD,100,-3876.59679846087
STD,10000,-3818.6433090858
STD,10,-4041.51872971462
DC,10000,-3812.29819176706
STD,1000,-3832.67279320637
DC,100,-3849.19634593152
STD,100,-3877.15997650617
STD,10000,-3819.94152912147
STD,10,-4060.12374194928
DC,10,-3950.96378302707
DC,100,-3844.90416950966
STD,100,-3890.01760407274
STD,1000,-3833.65148033644
DC,100,-3837.6958885447
STD,1000,-3831.23571454836
STD,10,-4030.51108991505
DC,10,-3986.48119320126
STD,10,-4019.59685029556
DC,1000,-3821.1890032186
DC,1000,-3823.20687080582
DC,10000,-3812.64040553337
STD,10000,-3817.16585594461
DC,10000,-3814.08971350436
STD,100,-3878.01148758386
STD,10,-3988.79656913178
STD,100,-3871.82087592674
DC,1000,-3822.37878260768
STD,1000,-3831.38176888493
DC,10000,-3815.20794742171
DC,10,-3982.85626955181
STD,10,-4039.54760352375
DC,100,-3838.51087884435
DC,100,-3852.87156451615
STD,1000,-3834.3283465354
DC,1000,-3818.78513529091
STD,1000,-3829.26680714259
STD,1000,-3829.75833137883
DC,10,-3932.34683444958
STD,10000,-3814.13947069611
STD,100,-3865.37627602399
DC,100,-3836.9047251643
DC,10000,-3809.28494927453
DC,100,-3849.41699769445
STD,10,-3999.99647733534
STD,10,-3978.1321178666
DC,10,-3983.26025828631
STD,10000,-3820.17998196591
DC,10000,-3815.96454201738
DC,10000,-3812.15709737261
STD,10000,-3818.17412749829
STD,10,-4000.00634754537
DC,1000,-3816.7590298991
STD,100,-3881.70818288095
STD,100,-3881.94206095615
STD,10000,-3819.66029316706
DC,1000,-3819.6712716409
DC,1000,-3826.13926604855
DC,1000,-3819.26325538527
STD,10000,-3815.48365861511
DC,1000,-3818.44993838178
DC,10,-3995.01175465198
STD,10,-4005.08126153687
DC,100,-3857.67077559168
DC,10,-3949.54343458455
DC,1000,-3823.24290479782
STD,10000,-3818.01776466637
DC,10000,-3815.92219682028
DC,100,-3848.33956557465
STD,1000,-3828.5963730868
DC,10000,-3814.49352279734
STD,10000,-3821.49628048097
DC,100,-3855.09960963618
DC,10000,-3814.3686754095
DC,10,-4004.96707322794
STD,100,-3866.07085322534
STD,1000,-3828.73609035513
DC,10,-3990.46347351462
DC,10,-3998.65093178083
STD,100,-3873.65917032041
STD,1000,-3834.33193758394
DC,1000000,-3811.36054385324
STD,100000,-3813.4456518959
STD,100000,-3816.19222995356
DC,100000,-3810.65864098396
DC,1000000,-3810.88534782404
DC,100000,-3811.05563640198
STD,1000000,-3814.11259416935
STD,100000,-3815.86750847591
DC,100000,-3812.57552871889
STD,100000,-3815.11301722169
STD,1000000,-3813.32373290107
DC,100000,-3811.46776154176
DC,1000000,-3811.59416970217
STD,100000,-3814.46256665599
DC,1000000,-3810.56490226294
STD,100000,-3814.38717002916
DC,100000,-3811.4103559613
STD,1000000,-3813.64122041405
DC,1000000,-3811.18395971218
DC,1000000,-3811.25783200701
DC,1000000,-3810.80469227341
STD,100000,-3816.07593813281
DC,100000,-3811.72553554543
DC,100000,-3812.56580021362
DC,100000,-3811.5818897355
DC,1000000,-3811.40732254044
STD,100000,-3815.25415457384
STD,100000,-3817.07031296485
DC,100000,-3812.37787416241
STD,1000000,-3811.83691008587
STD,100000,-3816.01976220776
DC,100000,-3812.43805725873
STD,1000000,-3814.06623406949
DC,1000000,-3811.29237782555
STD,1000000,-3814.83074236888
DC,10,-3995.01175465198
STD,100,-3879.3531594059
STD,1000,-3824.93446187156
DC,10000,-3813.42635402619
STD,10000,-3818.6408155487
STD,100000,-3816.23742423795
DC,10000,-3812.81208070019
STD,100,-3866.07085322534
STD,10000,-3820.82090089046
STD,10,-4066.00948909254
DC,1000,-3820.95183666067
STD,10000,-3814.72306248045
STD,100,-3865.48189980329
DC,10000,-3815.41968560771
STD,10000,-3822.17630595928
DC,100,-3850.90785574992
DC,1000,-3819.96596906445
STD,1000,-3821.57777372588
STD,10000,-3821.04193692753
STD,100000,-3811.43824088731
STD,10,-4043.48763036619
STD,1000,-3825.32003029857
STD,100,-3873.23198065748
STD,10,-4025.66829709502
STD,100,-3883.40582242952
DC,100,-3851.38040671365
STD,100000,-3815.01558611571
STD,10000,-3819.28753553862
STD,1000,-3831.89534241876
DC,1000,-3821.1890032186
DC,10,-3979.67019605098
DC,10,-3932.34683444958
DC,100,-3856.70034294194
STD,100000,-3815.14066044419
DC,10,-4001.75961504359
DC,1000,-3817.27509763461
DC,100,-3847.54476509204
STD,100,-3866.2797667314
DC,100000,-3811.685883581
STD,10,-4039.61925102793
DC,10,-3982.54968433644
DC,1000,-3823.3282947295
DC,100,-3844.23383119967
STD,10,-3987.90131965499
DC,10,-3973.52598783864
DC,1000,-3823.85869406037
DC,100000,-3811.17187887554
STD,10000,-3814.84530711316
STD,10,-4026.65753110997
STD,10000,-3821.08490682056
STD,10,-4021.14014456025
STD,1000,-3826.78658402759
STD,10,-4029.53353543393
STD,10000,-3818.60472065607
DC,10000,-3812.25079508275
DC,10000,-3815.09031154014
STD,10000,-3822.3318380896
STD,100,-3881.94206095615
STD,10000,-3822.27742215125
DC,1000,-3823.5294711335
DC,10000,-3813.51508382059
DC,1000,-3819.46294715184
STD,100,-3890.01760407274
STD,10000,-3819.09332154587
DC,100000,-3810.77444806199
STD,100000,-3813.55351460096
STD,10,-3988.79656913178
DC,100,-3848.4598637129
STD,100,-3864.24980464744
DC,1000,-3822.33573735532
STD,100,-3871.89151029633
DC,1000,-3822.03005047924
STD,100,-3886.22000307745
STD,10,-4027.77925772687
DC,100,-3843.2394785061
STD,100000,-3816.19222995356
DC,10000,-3815.14596809974
DC,1000,-3828.5940325444
DC,10000,-3812.76771471533
STD,10000,-3816.87017403995
STD,1000,-3827.80649810741
STD,10000,-3819.11668527136
DC,10000,-3815.34331074067
STD,100,-3867.53534719689
DC,100,-3862.74444983388
STD,1000,-3837.38462946501
DC,1000,-3817.47472920413
DC,10000,-3812.538695333
STD,100,-3883.54368376573
STD,1000,-3830.66924421235
DC,10000,-3811.83532527455
STD,10000,-3818.99741724929
STD,10000,-3817.16585594461
STD,10,-3978.1321178666
DC,100,-3837.87949042234
DC,100,-3848.33956557465
DC,1000,-3822.37878260768
STD,10000,-3821.86126757911
DC,10,-3984.3151261271
STD,10,-4021.90340314814
DC,10,-4012.94112959226
STD,100,-3875.24056337912
STD,10,-4051.25202205291
DC,1000,-3820.1559661363
STD,1000,-3822.1029887317
STD,100,-3872.28794381307
DC,1000,-3816.73104336824
DC,10000,-3813.20142522704
DC,10000,-3813.17926715522
DC,1000,-3816.57567904351
DC,100,-3853.61173332535
STD,1000,-3834.81069076659
STD,10000,-3814.13947069611
STD,100,-3872.04062039017
DC,1000,-3825.1962810096
DC,100,-3857.48369054442
STD,10000,-3818.49116260661
STD,100,-3884.49590672496
STD,100000,-3813.31798372092
DC,100,-3852.15725318948
DC,1000,-3818.29173122122
STD,100000,-3815.42600248686
DC,100,-3832.65071027709
STD,10000,-3815.63314252108
STD,100000,-3813.99441398446
STD,100000,-3812.62479590595
DC,10000,-3814.54400827544
STD,100000,-3815.19242312034
STD,1000,-3829.26410069513
STD,100000,-3814.99523311719
STD,100,-3884.78491428361
STD,10,-4032.13700503911
DC,1000,-3816.43799280245
DC,10,-3985.80996906849
DC,10,-3973.83868420666
STD,1000,-3833.35070707905
STD,10,-4009.32666286341
STD,100,-3873.67437308082
STD,10,-4013.83878401919
STD,10000,-3817.22373673312
STD,10,-4024.92820140584
DC,10000,-3811.67892537763
STD,100,-3896.01511292339
DC,10000,-3812.73548666782
STD,10000,-3819.85145571943
STD,10000,-3815.95372570476
STD,100,-3876.31480565741
STD,100000,-3815.58932891827
DC,1000,-3816.69682385873
STD,100000,-3814.8798331256
DC,100,-3860.11257739618
DC,10,-3973.85939104364
STD,10,-4000.00634754537
STD,10,-3993.68445047674
STD,100000,-3815.02274177301
STD,1000,-3825.40527082149
STD,100000,-3815.21143770108
DC,1000,-3820.46026768559
STD,1000,-3829.69626466514
DC,100,-3845.28145940657
DC,10000,-3813.77926007857
DC,10000,-3813.0497811978
DC,100,-3855.17587806105
DC,100,-3851.71046419744
STD,1000,-3830.07749649038
STD,100000,-3815.88322337127
DC,10,-3976.47102908178
DC,100,-3838.67902724741
STD,10000,-3819.15771191304
DC,10,-3997.79547767455
STD,100000,-3815.42453284154
DC,1000,-3813.37420907602
STD,1000,-3828.02495457753
STD,10000,-3820.39262824855
DC,10,-4008.62888401183
DC,100,-3841.49844150438
STD,10,-3991.2419165185
DC,100,-3860.31636079901
STD,10000,-3820.74109813755
DC,10,-3950.96378302707
STD,10,-4014.96519670562
STD,100000,-3815.14479389633
DC,1000,-3818.28711230281
DC,100,-3856.17829913782
DC,10000,-3816.04485490631
STD,10000,-3816.45418850899
STD,10000,-3815.39020159983
STD,10,-4031.00352435429
STD,10000,-3817.86351110718
STD,10,-4000.2667048304
DC,100,-3856.80555464104
DC,1000,-3819.39175389796
DC,1000,-3825.4261852536
STD,100000,-3817.07031296485
DC,10,-3998.52711745991
STD,10,-4009.0646961832
STD,100000,-3815.28669953083
DC,1000,-3824.72241902975
STD,1000,-3831.38176888493
STD,1000,-3834.37426042245
STD,10,-4003.35888503644
STD,1000,-3834.61142352493
STD,100,-3887.20791779492
DC,100,-3845.16628431052
DC,100,-3850.11407791082
STD,100000,-3811.58356786187
STD,10000,-3818.41553668686
STD,10,-4032.18397130006
STD,10,-4028.5671675583
STD,100,-3896.25439430844
STD,100000,-3815.04217658213
STD,100000,-3813.60671060126
STD,10,-4039.85291830675
STD,1000,-3828.68988480674
DC,100,-3842.78625964215
STD,100,-3877.10998356929
DC,10,-4021.47177143365
DC,10,-4006.19003559814
DC,100000,-3809.94179742452
STD,100000,-3815.25415457384
DC,10,-3994.56273002893
STD,10,-4015.90960942925
STD,100,-3882.59149124444
STD,100000,-3814.49139470152
DC,100,-3852.37941926701
STD,100,-3857.45857266578
STD,10000,-3816.72978475289
STD,100,-3878.917777925
STD,10,-4038.34393337833
DC,1000,-3819.70906760647
DC,10000,-3812.64040553337
STD,100,-3888.79820814119
STD,1000,-3833.46266962557
STD,10,-4046.14780053356
STD,100,-3872.57134924385
DC,1000,-3821.21921493278
STD,100,-3881.70818288095
STD,100000,-3816.25364924429
STD,100000,-3814.46439485158
STD,10000,-3815.13714418126
DC,1000,-3817.69350750568
STD,100,-3881.22528635327
STD,1000,-3826.46736336832
DC,100,-3855.09960963618
STD,100000,-3813.46997833082
DC,10000,-3814.37176626788
STD,10000,-3820.39050438546
DC,100,-3846.56898004337
DC,1000,-3817.44223460941
DC,1000,-3817.38658419138
STD,1000,-3838.09277154004
STD,100,-3892.1522098967
STD,10,-4037.62562056025
STD,1000,-3822.33806501373
STD,1000,-3836.65188951908
STD,100000,-3814.75108132765
DC,100000,-3811.88063703623
STD,10,-4049.49957573837
DC,10,-3952.78960844563
STD,1000,-3825.32667997426
DC,10000,-3813.27126816517
STD,10,-4039.74536750972
STD,100000,-3813.80347497095
DC,10,-3985.6077289431
DC,10000,-3811.4059336338
STD,1000,-3830.6174902007
STD,10000,-3818.35333707271
STD,1000,-3834.33193758394
STD,10,-4017.85861350745
STD,1000,-3831.00139348451
DC,10000,-3815.40798444594
DC,100,-3863.0871455393
DC,10000,-3814.96443187403
DC,10,-4005.20702380317
DC,10000,-3813.60096433056
STD,10,-4033.72628256816
DC,10000,-3814.49352279734
STD,1000,-3829.97539823166
STD,100,-3892.75255141082
STD,1000,-3829.07884618884
DC,1000,-3818.42991523695
DC,1000,-3817.76253869588
DC,10,-3986.75630436227
STD,10,-4034.04216090789
STD,100000,-3812.34433303738
DC,100000,-3810.65864098396
STD,1000,-3832.04419282841
DC,100,-3845.32098330635
DC,10,-4033.77847919229
DC,10000,-3811.31709493064
DC,100000,-3811.8253023954
STD,10,-4008.30928912594
DC,10,-3993.0226423715
DC,10000,-3814.64730133476
DC,100,-3856.67214940409
STD,1000,-3830.52313242569
STD,1000,-3828.65535107164
STD,10000,-3818.48205242506
STD,100000,-3814.52535254208
DC,100,-3849.05259780391
DC,1000,-3820.96463698984
STD,100000,-3815.10340482083
DC,10,-3990.21139514218
STD,100000,-3815.11301722169
DC,100,-3853.21475599146
DC,10,-3965.81091446806
STD,10,-4013.9593245015
STD,10000,-3816.70059406472
DC,10,-3991.2770896109
DC,100,-3838.51087884435
STD,10,-4040.1189790492
STD,100000,-3814.36403631889
STD,100,-3880.37178682658
STD,100,-3874.93826098613
STD,10,-4011.61453499491
DC,10000,-3814.12107066725
STD,100,-3853.02006931969
DC,1000,-3823.20687080582
STD,1000,-3841.4038670861
DC,10000,-3817.62424264438
STD,10,-4030.51108991505
STD,1000,-3823.44451384805
STD,100000,-3815.65467403316
STD,1000,-3827.54424756986
STD,10,-3999.99647733534
STD,100000,-3814.59367843687
STD,10000,-3812.57475029398
STD,10,-4032.76524706128
STD,10,-4023.31295574253
DC,10000,-3810.89422463013
STD,100,-3873.65917032041
DC,10000,-3812.27138621399
STD,1000,-3828.8601697276
STD,100000,-3814.13566386373
DC,1000,-3820.92903167453
DC,1000,-3822.65455790156
DC,100,-3844.27767231796
DC,1000,-3824.18713641034
DC,10000,-3815.92219682028
DC,100,-3837.6958885447
STD,10000,-3815.87507506732
DC,1000,-3820.40325453936
DC,10000,-3810.6879278202
DC,10000,-3814.81657940849
STD,10,-4025.11783621222
DC,10000,-3813.75358819352
STD,10,-4025.61795337669
STD,100000,-3814.89924659359
DC,1000,-3816.96379810912
STD,10000,-3819.09485207576
DC,10000,-3813.24758581461
DC,100,-3862.83564369884
STD,10,-4003.88189057243
DC,10,-3971.4528411768
DC,10,-4005.00361889974
STD,1000,-3832.17791419698
DC,100000,-3812.41585166589
STD,10000,-3815.33873394694
STD,10000,-3822.31683754449
STD,100,-3878.71901246173
STD,10,-4032.37773325033
STD,10,-4007.09238888752
STD,100,-3891.00992046332
STD,1000,-3824.38267969591
STD,1000,-3825.96764453206
STD,10,-4013.14834762761
STD,10000,-3817.93344772939
STD,10,-4007.12473591449
STD,100,-3887.45996371533
DC,100,-3845.09316387534
DC,10000,-3814.55337531707
DC,1000,-3818.99907618637
STD,10,-4041.51872971462
STD,10,-4005.08126153687
STD,100,-3870.41701384046
STD,1000,-3832.1827808108
DC,10000,-3815.82331266123
DC,10000,-3812.0748085125
DC,1000,-3818.57717627941
STD,100000,-3816.07813969371
DC,100,-3856.12971003962
DC,10000,-3813.57145970607
STD,10000,-3820.1533059575
DC,100,-3854.78606696907
STD,1000,-3836.80939016381
STD,1000,-3831.87934453448
STD,100,-3884.72023836708
DC,10000,-3811.68286110126
STD,10,-4007.72948706537
DC,10000,-3815.83277209332
DC,100000,-3810.89926497212
DC,1000,-3823.87209577349
STD,100,-3877.15997650617
DC,10,-4019.58797937478
STD,1000,-3831.7336635075
STD,100000,-3813.06838418477
STD,100000,-3813.63108749133
DC,1000,-3824.50498195452
DC,1000,-3822.03292093225
DC,100,-3835.81046180159
STD,10,-4033.60637213964
STD,100000,-3814.17234453638
STD,100000,-3812.84794088151
